Product_Name,Product_Price,Review,Date,Month,Year,Sentiment Score
"Candes 60 L Room/Personal Air Cooler(White, Black, CRETA)",8999,very nice product,09-11-12,November,2012,5
"Candes 60 L Room/Personal Air Cooler(White, Black, CRETA)",8999,very soundless product and low price other company,18-08-13,August,2013,5
"Candes 60 L Room/Personal Air Cooler(White, Black, CRETA)",8999,nice,05-10-14,October,2014,5
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,the best poduct that i bought from flifkart it works superb like ac and price is also reasonable only rs ,30-07-13,July,2013,5
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,cooler is big and wide maharaja brand trust y every thing is good about cooler create less noise only thing is that its motor is not powerful even in high speed rest all things are good but yes for one middle size room it is ok,10-07-12,July,2012,4
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,it is one of the best air coolers at reasonable price have ever seen but the ventilation of the room is must for proper cooling but the size is quite big it will i hope create a space problem during off seasons the air supply is very good and its one of the essential part of the air cooler with the wool wood pads which helps to make super cooling afterall thank you maharaja company to make such a product in affordable and reasonable price,19-02-13,February,2013,5
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,awesome air cooleri was looking for a cooler under this range and this has fulfilled my requirement this has the following features great air through the capacity of  mhr  comes with a large litre tank which can run overnight with ease great built that is a shockproof and reliable material you have to stop this beast at night because it has that massive cooling capabilityone small concern is mine and it is for sure that it is not a dealbreaker that it produces s,08-12-13,December,2013,5
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,purchased after a lot of discussions and reviews i would say this the best which gives you the comfort needed best to for with no nd thoughts nice cooling low noise hope this should be energy efficient and used for a long run,07-09-14,September,2014,5
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,very nice cooler cooling is very good there is no noise i reviewed a lot then only i purchased it if you want effective cooling you have to set it up at a window where there is cross ventilation without cross ventilation it will make environment humid lookwise it is very nice and material is strong,13-08-12,August,2012,5
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,feedback given after using one week the cooler is amazing its making the whole room cooling you should install the cooler near to your windows the delivery was on time as well the delivery boy also very supportive,03-10-14,October,2014,5
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,great deal  l quite big tank sufficient cooling for one medium size room  modes works well best in this range,20-07-13,July,2013,3
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,i bought this cooler on heavy discount by flipkart cooler is build of good quality material it has a fast fan with powerfull motor pump air quality is excellent even for a big room a must buy value for money product,01-06-13,June,2013,5
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,the good things very well packed good amount of thermocols to protect from transport damages sturdy body relatively less noise as compared to bajaj cooler i had earlierwish this was betterfor many purposes it is necessary to open cooler body opening the body of cooler is not very intuitive common consumers may not even attempt for fear of damaging something  easy opening of side frames to change pads or clean the water inlets water balloon used to cut water supply au,17-02-14,February,2014,3
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,excellent producthappy with resultnice air flowosm cooling,04-03-14,March,2014,4
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,cooler works fine and it is inverter friendly,29-04-14,April,2014,5
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,small wire and moter capacity is very low fan speed was not good out flow vent hole is above the lower part of cooler its very difficult to change water,19-01-14,January,2014,1
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,perfect product for large size room,31-01-14,January,2014,5
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,average cooling not much as expected by size and reviews of cooler cooling is sufficient maharaja whiteline should work on its cooling efficiency and reduce size by width can increase in height to maintain tank capacity,21-07-13,July,2013,4
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,product was amazing cooling capacity awsum pls go for ahead a big thumbs up,14-01-13,January,2013,5
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,good,28-12-12,December,2012,4
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,received dalay  days cooler is ok when i was reveived switch damaged,07-10-13,October,2013,3
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,big oneworking good days of use hope will work for long run,23-11-13,November,2013,4
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,good product nice air flow and no noice,16-03-14,March,2014,4
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,in this price good cooler,11-05-13,May,2013,5
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,is good for many,01-08-14,August,2014,4
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,it is an awesome product light weight easy to use and having lot of features,27-01-13,January,2013,4
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,the product doesnt cool as rated by other customers the cooling is very slow very wrost product i recommend to not buy this item wastage of money,27-08-13,August,2013,1
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,looks like monster cooler it is working as awesome,02-12-14,December,2014,5
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,very nice product thank you flipkart,13-07-14,July,2014,5
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,very good,26-11-13,November,2013,5
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,good cooler it occupies more space looks very large but good for hall it covers all the places,12-12-13,December,2013,4
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,very impressive coolerpros stylish energy efficient  watt very good air throw and cooling summersible pumpcons very bulky take more place than other no wheel lack of ice box,09-09-13,September,2013,3
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,best cooler i bought ,02-08-14,August,2014,5
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,excellent cooler in this price rangepros air throw is very powerful even when u run it at slow speed setting  cooling and tank capacity ergonomics cons if you want to clean the cooler then opening the pads is very cumbersome process if you have placed it on some flat surface then also draining the old water is very difficult overall v good cooler apart from above cons and considering price,01-03-14,March,2014,5
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,cooler not provide cool air because year experience,21-12-12,December,2012,1
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,a good product in budget,07-07-13,July,2013,5
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,packaging excellent value for money product,26-11-12,November,2012,4
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,delivered within  days working good,20-08-13,August,2013,5
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,efficient for large roomspros low noise of fan inverter friendly cools large rooms fastly and easily it have aroma chamber in which you can add tablet of frangrance to counter smell of woodwool pads it have  section for air flow which means you can adjust it to get air for double decker cot equallyconsthey should have provided stand of castor wheel for it to move it should have ice chamberwill update more about it in future,12-06-12,June,2012,4
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,better than the steel cooler less noise and value for money,02-10-14,October,2014,4
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,dont buy maharaja whiteline coolers they have cheap aluminum motors that are good for at max  years repair cost of these motors is so high that u would want to sell rather than repair them,16-12-13,December,2013,1
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,very nice product and delivery is satisfied,10-11-13,November,2013,5
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,no quality product the wood wool has started falling out from the next day out of two led indicator has found not working on arrival the air swinger is already giving noise when moving which never used to be in my old cooler which i am using since  years the quality is no way machine to branded coolers anti bacterial tank has been bacterial now as there is no way to clean it so congested to maintain it cleanlyin my way think before you buyac has option to aut,15-10-12,October,2012,1
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,air throw is very good it makes room very cool in just half an hour full tank capacity is  litres which stays up to  hours it makes big living room colder not very much noisy,24-04-13,April,2013,5
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,on time delivery received exact productthank u flipkart,22-06-14,June,2014,5
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,maharaja always no ,25-01-13,January,2013,5
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,awesome product love this,29-07-13,July,2013,5
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,poar quality plastic material is not good,01-07-14,July,2014,2
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,value for money,30-06-14,June,2014,4
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,nice cooler,02-06-13,June,2013,5
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,fantastic product great cool,04-06-14,June,2014,5
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,dont buy just by seing the comments dont know how people review and rate the product cooling is ok but when it comes to fill the water you would need inlet pipe to fill the water we cannot open from the backsides to fill the watercleaning is highly impossible because there is no way you can open and clean worst design other small small branded companies provide all those facilities but this is worst product design totally unhappy with this product,27-11-12,November,2012,2
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,best at its price,17-02-14,February,2014,4
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,this is my review after using this product for a weekair throw is goodproduce less noisegood product at reasonable pricebut it never open from behindnot easy to cleanrefill the watercable is short,26-03-14,March,2014,2
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,cooling fan problem,06-11-13,November,2013,1
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,after discount rs  price is okquality is okdelivery as on time okmotor speed  rpm okpump okcolour is ok look is also okwater storage is appx  ltd more than  large bucket is okstill giving  star because it is a large in size and in width not fit to my window not expectedwill give next rating after couple of month usagethanx flipkart,21-04-14,April,2014,3
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,product is really worthy of price k however it occupied more space in room should one consider it before buy it worth for that money,12-12-13,December,2013,4
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,mind blowing very good for hall and for big wondow its really big in size quality is nice must buy,13-04-13,April,2013,5
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,good and sufficient size,02-06-14,June,2014,5
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,awesome,26-03-14,March,2014,5
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,good product,25-07-12,July,2012,5
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,best product,23-12-13,December,2013,5
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,very good,25-03-13,March,2013,5
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,good product delivery on time,26-11-12,November,2012,5
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,nice product deliver in time,24-05-14,May,2014,5
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,i honestly liked the productbest desert cooler at lowest price i got the deal of nice brand good built quality with precision to eachgood switches and knobs to controltakes space as its hugevery silentnot high but good speed fan to cool upto upto  feetno ice tray but its not a mattergo for it,25-11-13,November,2013,5
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,dont buy this product within  year wind blade was broken and noise issue wind blow very low its better to go other brand,14-03-13,March,2013,1
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,awesome product,26-04-13,April,2013,5
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,very good product,02-04-13,April,2013,5
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,valu for money,01-07-14,July,2014,4
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,nice to,03-05-14,May,2014,4
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,worst product fan speed very slowlike nothing,01-02-14,February,2014,1
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,best product,01-07-14,July,2014,5
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,big size mostly like industrial cooler but within this price and my house is big it is perfect no wheels but can buy stand and it works fine if you have close home and less space go for other options,10-07-13,July,2013,5
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,very bad service by flipkart customer care representative and jeeves agent too much bad performance no cooling just like a stand fan,01-10-13,October,2013,1
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,oh really really very good i am so happy,25-03-14,March,2014,4
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,low air and not cooling as axcpected,31-01-14,January,2014,1
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,super cooling system,04-12-13,December,2013,5
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,very nice working,19-01-14,January,2014,5
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,excellent performance,05-04-14,April,2014,5
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,good,04-12-13,December,2013,4
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,wonderful product can go for it,18-08-13,August,2013,5
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,really desert cooler super cool,10-12-12,December,2012,4
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,very good product water flow must be slow from pump but its okay,02-03-14,March,2014,5
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,water inlet is not good,13-01-14,January,2014,1
"MAHARAJA WHITELINE 65 L Desert Air Cooler(White, Grey, Rambo Grey / AC-303)",7999,awesome,01-10-14,October,2014,5
"Crompton 75 L Desert Air Cooler(White, Teal, ACGC-DAC751)",9999,product is delivered before time from fks gurugram warehouse to noida it was received in good condition however few scratches were visible when deliveredproduct is very good and working as expected cooling  sqft drawing room of my flat in hot summer end of april of noida city cool air circulation can be felt even at far ends of the room look of the cooler is also decent finishing is not that fine at corners and very easy to move within the room or outsidefull water tank goes e,27-02-13,February,2013,4
"Crompton 75 L Desert Air Cooler(White, Teal, ACGC-DAC751)",9999,i bought this after comparing over  different types of coolers its cooling is good but nothing compared to desert coolers like kenstar cyclone  what i observed that the cooling pads at the back are not properly soaked in water compared to side cooling pads this maybe the reason why cooling is lesser still its better than most coolers out there in marketprosit looks classy low noisehuge l tankpowerful  degree airthrowconsno indicator light no single switch to turn o,30-10-13,October,2013,5
"Crompton 75 L Desert Air Cooler(White, Teal, ACGC-DAC751)",9999,omni tech retail is great seller very good delivery fantastic product wish xtra good packing thank you flipkart thank you ekart and also thank you omni teck retail seller,09-05-12,May,2012,5
"Crompton 75 L Desert Air Cooler(White, Teal, ACGC-DAC751)",9999,its compolsory needs ventilation otherwise too hot if u have ventilation part in your room then go for it n feel like ac cooling using ice cubes in ice chamberanyway thank u flipu,02-03-14,March,2014,5
"Crompton 75 L Desert Air Cooler(White, Teal, ACGC-DAC751)",9999,i review this product after week usethis cooler is very good air throw is very good and nice coolingi use only water and cooling is niceif u add ice cube then you feel chilled air throw but u should proper ventilation in room open windows doorsi placed my cooler outside room in balcony windowmy room size is  square feet and having this cooler air throw covers my whole room noise is very low like table fan u can sleep peacefully,04-03-13,March,2013,5
"Crompton 75 L Desert Air Cooler(White, Teal, ACGC-DAC751)",9999,it is worth every single penny i bought this cooler for the indoor room where air ventilation is not much but this cooler performs really well for that room the fan motor is very powerful and the water tank is also has a good capacity it cools the room very well where there is no ventilation if it gets the air ventilation it will perform much better please go for it but keep in mind the service for this cooler is very expensive more than acbecause the honey grass are real expensive,21-06-14,June,2014,5
"Crompton 75 L Desert Air Cooler(White, Teal, ACGC-DAC751)",9999,pros  efficient blower fan wide distribution of breeze good appealtrendy and strong body made of abs full tank of water lasts a full day highly portable castor wheels silent operation at full speed compared with other brands cools larger area than advertisedcons  no timer no remote,13-05-14,May,2014,5
"Crompton 75 L Desert Air Cooler(White, Teal, ACGC-DAC751)",9999,awesome cooler cooling was very fast great work in summer,21-11-13,November,2013,5
"Crompton 75 L Desert Air Cooler(White, Teal, ACGC-DAC751)",9999,the main function that is cooling is amazing in this product capacity is great at  litres product delivery was really good and on time and also in great condition i will recommend it ober symphony coolers as it is more value for money and its cooling is incomparable,03-01-13,January,2013,5
"Crompton 75 L Desert Air Cooler(White, Teal, ACGC-DAC751)",9999,bought  cooler  by  gap of  weeks cooling amazing no need of stand coz of standerd hight compact size have ice chamber and strong body,02-04-13,April,2013,5
"Crompton 75 L Desert Air Cooler(White, Teal, ACGC-DAC751)",9999,this buy is true value for money white in colour beautiful to look at has wheels can be moved around easily tank capacity is awesome has fab cool and swing option also has a ice cabinet at the top of the cooler packing was good timely deluvary and we are really happy,31-05-13,May,2013,5
"Crompton 75 L Desert Air Cooler(White, Teal, ACGC-DAC751)",9999,excellent quality it is just like as a c very very cool air i recommend to all to buy it instead of local brands it is zero defect look wise very good delivery within  hours thanks to flipkart and delhivery for transporting safe delivery,30-04-13,April,2013,5
"Crompton 75 L Desert Air Cooler(White, Teal, ACGC-DAC751)",9999,plastic is of good quality no leakages as of now it blows air at high speed useful for long halls small rooms might have problem of noise keep it at some distance and see the effect modes work fine delivery was fantastic as it was delivered in mini truck carried by  guys,07-01-13,January,2013,5
"Crompton 75 L Desert Air Cooler(White, Teal, ACGC-DAC751)",9999,amazing air coolerit is almost  degrees here in gujarat during summersit is highly effective even in this temperature alsooverall this huge machine creates almost negligible noiselove this large yet effective air cooler from crompton,13-08-13,August,2013,5
"Crompton 75 L Desert Air Cooler(White, Teal, ACGC-DAC751)",9999,design is good but not worth itcooling is ok ok air distribution is also normalwill recommend to go for some local cooler as they deliver more chilled air than this one and are cheaper also,02-07-14,July,2014,3
"Crompton 75 L Desert Air Cooler(White, Teal, ACGC-DAC751)",9999,a very nice product easy to maintain quite efficient in function i will give it a five star rating,09-11-13,November,2013,5
"Crompton 75 L Desert Air Cooler(White, Teal, ACGC-DAC751)",9999,best delivery by flipkart and amazing cooler by cromptoni bought this ozone lt air cooler which has powerful air throw and quite good cooling capacity,07-01-14,January,2014,5
"Crompton 75 L Desert Air Cooler(White, Teal, ACGC-DAC751)",9999,very good product on time delivery good offer what we got happy to use for the chennai sunny days,03-11-13,November,2013,5
"Crompton 75 L Desert Air Cooler(White, Teal, ACGC-DAC751)",9999,a good cooler with a decent airthrowi resides in top floor in delhiit is giving perfect cooling till dateonly need cross ventilation for better circulation,31-10-13,October,2013,5
"Crompton 75 L Desert Air Cooler(White, Teal, ACGC-DAC751)",9999,awesome cooler i got it in just  which was a great deal just use it in a well vanitlated room and it works like ac,03-02-13,February,2013,5
"Crompton 75 L Desert Air Cooler(White, Teal, ACGC-DAC751)",9999,wow super cooling delivery date is may but excellent and fast flipkart delivered on may,20-06-13,June,2013,5
"Crompton 75 L Desert Air Cooler(White, Teal, ACGC-DAC751)",9999,very nice product this is the best product among all coolers available in the marketcool calm very useful for big as well as small rooms,12-05-13,May,2013,5
"Crompton 75 L Desert Air Cooler(White, Teal, ACGC-DAC751)",9999,good looks very nice cooling good storage capacity good build quality strong wheels,14-05-14,May,2014,5
"Crompton 75 L Desert Air Cooler(White, Teal, ACGC-DAC751)",9999,size is compact look wise is good noise is lessdelivery and packing is good tooi paid cash on delivery cooling is good enough for a roomi think not suitable for big hall,22-06-13,June,2013,5
"Crompton 75 L Desert Air Cooler(White, Teal, ACGC-DAC751)",9999,cooler is very compact and movable look wise greatperformance was good but not excellent as in extreme heat it doesnt cool as otherwise also difficult to clean the tank leading to stink,14-07-14,July,2014,4
"Crompton 75 L Desert Air Cooler(White, Teal, ACGC-DAC751)",9999,genuine feedback cooler is not so cool but below average it can prevent only the hot air blown by nature during hot climate in summer u can get the air like rainy day nothing else,27-01-13,January,2013,3
"Crompton 75 L Desert Air Cooler(White, Teal, ACGC-DAC751)",9999,superb cooler and working like tonac in my room satisfied with this product happily go for it,19-03-14,March,2014,5
"Crompton 75 L Desert Air Cooler(White, Teal, ACGC-DAC751)",9999,best air cooler worth money it works like acand compatible with inverter also,12-05-13,May,2013,5
"Crompton 75 L Desert Air Cooler(White, Teal, ACGC-DAC751)",9999,great product by crompton nice cooling nice looks nice wheels go for itonly concern is length of power cord but you can manage this with extension cordboard,07-11-14,November,2014,5
"Crompton 75 L Desert Air Cooler(White, Teal, ACGC-DAC751)",9999,am writing this review after using the product for a monththe built quality is good and the cooling efficiency is very nice when it is placed near to the windowthe only concern with it is no water outlet found at the bottom when you want to release the water or clean the cooler,26-05-13,May,2013,4
"Crompton 75 L Desert Air Cooler(White, Teal, ACGC-DAC751)",9999,excellent i recommend it but you need fill drinking water ltrs for  hours approximately and using soft water drinking is best to retain the water pump life little bit noisy in fast mode useful for  x  sqft area,05-02-14,February,2014,5
